"Erik Wapstra";"Plasticity of thermoregulatory behaviour in response to the thermal environment: a comparative test across specialist and generalist reptile species      (#313)";"Behaviour is at the forefront of the\norganisms - environment relationship and thus should play a central role in an organisms’\nability to respond to environmental change over short time scales and is likely\nto underpin species climate change responses. Despite this, relatively few\nstudies take the potential for behavioural plasticity into account when\nstudying the effects of current climate change. We tested the capacity for a\nhigh and low altitude population of two widespread and two highland-restricted\nspecies of a cool climate lizard genus, Niveoscincus,\nto respond to variation in basking opportunity through changes in basking\ntime and selected body temperature under controlled laboratory conditions. Both widespread and highland Niveoscincus species responded to\nvariation in the thermal environment through changes in the time spent basking.\nBehavioural responses\ntranslated into different effects on body temperature at the species level.\nBoth widespread species\nreduced body temperatures when exposed to high basking opportunity whereas highland\nspecies maintained consistently high body temperatures despite exposure to\ndivergent thermal conditions. Plastic behavioural and body temperature\nresponses to the thermal environment will at least partially mitigate the\nimpact of changing temperatures on these species. Our study exemplifies the\nimportance of incorporating the potential for population and species-level\ndifferences in behaviour when examining responses to climate change.";"University of Tasmania, Hobart, TAS, Australia"
"Alison Cree";"Implications of climate change for basking behaviour in a cool-climate lizard previously considered as nocturnal     (#314)";"Global analyses of the vulnerability of lizards\nto climate change often consider species by their activity period (diurnal\nversus nocturnal). For robust conclusions, such analyses depend on accurate\ninformation about activity periods. In the past, the viviparous, rock-dwelling\ngecko Woodworthia “Otago-Southland” from southern New Zealand (formerly Hoplodactylus maculatus) has often been categorized as nocturnal as it forages extensively\nat night. However, our group’s studies show this description to be incomplete.\nField observations using time-lapse photography confirm extensive basking in\ndirect sunlight, especially by females (Gibson, Penniket and Cree, BJLS in\npress). Laboratory studies confirm that basking is context-specific (dependent\non the thermal benefits) and practised more by pregnant females than by\nnon-pregnant females or males. When only a narrow shaft of radiation is\navailable, pregnant females often bask “on toes”, raising the surface temperature of the\nabdomen, above the developing embryos, to 30°C or more while the body\nextremities remain much closer to the ambient temperature of 16°C. This species\ntherefore exhibits diurnal and nocturnal behaviours in both field and\nlaboratory situations, and it should be classed as diurno-nocturnal. Diurno-nocturnality\nis likely to be widespread amongst viviparous New Zealand geckos traditionally\nclassed as nocturnal. If climate change leads to warmer air temperatures with\nno reduction in solar radiation, then basking by Woodworthia “Otago-Southland” (with its attendant risks of\npredation) may decline, leading to more exclusively nocturnal emergence.\nFurther warming could be followed by a declining use of superficial rock slabs\nas retreats. However, if climate change leads to warmer temperatures but\nincreased cloud cover, then effects on basking behaviour and on use of\nsuperficial retreats are more difficult to predict.";"University of Otago, DUNEDIN, OTAGO, New Zealand"
"John Llewelyn";"Hot chilly lizards: how do rainforest sunskinks adjust their physiology and thermoregulatory behaviour in response to different thermal conditions?     (#316)";"As the world warms, species’ thermal sensitivities and\ntolerances are being tested. However, the temperatures a terrestrial reptile\nexperiences are not only dependent on climate, they are also influenced by thermoregulatory\nbehaviour. Thermoregulatory behaviour may have an especially strong influence\non the hotter temperatures a reptile experiences, because reptiles\nbehaviourally avoid dangerously hot conditions. Is it possible, then, that variation\nin upper thermal limits (CTmax) of terrestrial reptiles primarily\nreflects thermoregulatory behaviour, rather than local climate? To address this\nquestion, we studied CTmax and thermoregulatory behaviour of rainforest\nsunskinks (Lampropholis coggeri),\ntesting skinks from different populations and in different seasons. We found\nthat CTmax is highly plastic, and, surprisingly, that skinks from\ncolder sites have higher CTmax than do skinks from hotter sites.\nSkinks from colder sites also select higher body temperatures in a thermal\ngradient, and CTmax is correlated with selected body temperature in\nthis species. These results are consistent with the hypothesis that upper\nthermal limits are more strongly associated with thermoregulatory behaviour than\nwith local climate, and emphasize the importance of considering both physiology\nand behaviour when assessing how species adjust to different climates.";"Centre for Tropical Biodiversity and Climate Change, James Cook University, Townsville, QLD, Australia"
"Lin Schwarzkopf";"A random walk in the park: an individual-based null model for behavioural thermoregulation     (#317)";"Behavioural thermoregulators leverage environmental temperatures to control body\ntemperature. Habitat thermal quality dictates the difficulty of precise\nthermoregulation, and the quality of behavioural thermoregulation in turn impacts\norganism fitness. Comparing body temperature\nof a thermoregulator with the expectations of a null model allows us to estimate habitat\nthermal quality and the effect of behavioural thermoregulation on body\ntemperature. Available null models do not account\nfor structure in the thermal environment, or transient body temperatures, and use indices that are not closely related to thermal performance. We present\na new null model, using multiple random walks through a realistic thermal environment,\nthat generates a temporally integrated distribution of null body temperatures,\nand proposes a thermal-performance based metric for quantifying behavioural\nthermoregulation in the context of organism fitness. We demonstrate our model\nusing a small skink in an Australian tropical open woodland and describe a\nshift in habitat thermal quality through the day, and a compensatory shift in\nthermoregulatory effort, and hence the benefit of behavioural thermoregulation. Our\nnew null model provides a temporally integrated, realistic estimate of habitat\nthermal quality and thermoregulatory effort and benefit.";"Station d’Ecologie Expérimentale du CNRS, Saint-Girons, France"
"Marinus L de Jager";"Morphology and sexual deception: are orchid labellum structures products of female wasp mimicry or mechanical fit with behaviourally different male pollinators?      (#320)";"Male wasps are common pollinators of sexually deceptive\norchids which mimic their female’s sex pheromones. Although chemical mimicry is\nwell characterised in this interaction, the role of floral morphology is unknown.\nWe targeted Neozeleboria thynnine wasps\nthat pollinate Chiloglottis orchids,\nas this group offers a unique opportunity to explore the influence of floral morphology\non pollinator behaviour in the absence of chemical differences. C. trapeziformis and C. valida attract behaviourally distinct\npollinators and exhibit divergent floral morphologies, but employ identical chemical\ncompounds for pollinator attraction. This permits independent and experimental investigation\nof the importance of morphology in sexual deception. Neozeleboria wasps also display extreme size dimorphism, allowing\nus to make two clear predictions. If labellum structures are under selection\nvia female mimicry, we expect trait\noverlap with the smaller female insects. Conversely, if labellum structures\nare under selection via mechanical\nfit to male wasps, we would expect trait overlap with the larger pollinating\nmales instead. Results revealed some overlap between labellum structures and\nfemale wasps in terms of colour and size, indicating potential female mimicry.\nHowever, we also found that pollinator behaviour is strongly\ninfluenced by floral morphology and that labellum size is positively correlated\nwith male pollinator size in some species. Furthermore, experimentally modifying labellum\nsize in C. trapeziformis significantly\nreduced the duration of copulation attempts made by male wasps, indicating pollinator-mediated\nselection for mechanical fit. We thus find that sexual deception is governed\nnot only by female mimicry, but also by morphological fit with the male\npollinators and that differences in pollinator behaviour may be crucial for determining\nthe strength of selection experienced. ";"Botany and Zoology, Stellenbosch University, Matieland, Stellenbosch, Western Cape, South Africa"
"Fabio Cortesi";"From being a lamb to becoming a wolf: ontogenetic changes of skin pigmentation and the visual system precede flexible colour changes in a reef fish mimic     (#321)";"Animals often change their colour\nthroughout ontogeny; however, the triggers for ontogenetic colour changes\n(OCC), and how this interrelates with the ability of individuals to perceive\ntheir environment remains largely untested. Here, we investigate OCC in the\ndusky dottyback, Pseudochromis fuscus.\nAs adults, dottybacks are aggressive mimics that flexibly change colour to\nimpersonate various fishes in their surrounding to increase access to their\njuveniles, upon which they prey; however, little is known about the early life\nstages of this fish.  Using a\ndevelopmental time-series and combining it with wild caught specimens we describe\nmultiple OCC events during dottyback development. Moreover,\nmicrospectrophotometric (MSP) and quantitative real time PCR (qRT-PCR)\nexperiments show developmental changes of the dottyback visual system,\nincluding an adult specific expression of a previously undescribed visual gene\n(opsin). Modifications of the visual system precede OCC and based on\ntheoretical fish visual models, this is likely to be because dottybacks need to\nbe able to distinguish between the fish they are meant to impersonate, before\ncolour changes can occur.\nOur results show how development and plasticity can interact\nto shape an individual’s life history, and dottybacks provide a good example of\nthis adaptive ingenuity.";"Zoological Institute, University of Basel, Basel, Switzerland"
"Dinesh Rao";"Defensive wing displays of tephritid flies against jumping spiders     (#322)";"Many species of tephritid flies (Diptera) perform a wing waving display ('supination') to deter attacks from jumping spiders. This display, along with the dark bands on the wings, has been thought to deter spiders through a form of mimicry termed 'predator mimicry'. In a series of studies with jumping spiders and the Mexican fruit fly, we explored this interaction from a visual ecology perspective. We show that spiders are deterred more by the display rather than the appearance of the fly. Fly displays are proximately triggered by the motion of the opponent, rather than the identity of the opponent. Spiders with repeated encounters with display may learn to overcome the display. The quantification of the fly- spider interaction can be used to monitor the quality of flies in applied contexts. The tephritid-jumping spider system is a remarkable model system with implications in various fields of research in visual ecology.";"Inbioteca, Universidad Veracruzana, Xalapa, Veracruz, Mexico"
"Reika Sakurai";"Bent posture improves the protective value of bird dropping masquerading by caterpillars     (#323)";"Masquerade describes a defence by animals that have evolved to closely\nresemble inedible objects such as twigs, stones, or bird droppings. Animals\nthat masquerade often match their models in size or shape, and may even adopt\nspecific postures in order to enhance their resemblance, causing predators to\nmisclassify them as their model objects. The caterpillars of some moth species resemble\nbird droppings, and bend their bodies while resting on branches or leaves. We\nhypothesised that such bending might enhance the caterpillars’ resemblance to\nreal bird droppings. In this study, we test this hypothesis by pinning\nartificial caterpillars with green or bird dropping coloration onto tree\nbranches in both straight and bent postures, after which we exposed them to\nbird predation in the wild. We found that the adoption of a bent posture\nresulted in lower attack rate of birds on the artificial caterpillars with the\nbird dropping coloration, while green caterpillars experienced no benefit from\nthe same treatment. This study is the first experimental demonstration of the\nprotective value of a specific posture in masquerading prey, and highlights the\nimportance of considering an organism’s shape and posture in the study of\nmasquerade.";"University of Hyogo, Nishi-ku, KOBE, Japan"
"Danielle Klomp";"Increasing dewlap size and colour contrast as alternative strategies for effective communication in gliding lizards     (#324)";"Sexual ornaments need to be conspicuous to be effective and there are multiple ways to achieve this. Two main ways are 1) by increasing the ornament's colour or brightness contrast against the background and 2) by increasing the size of the ornament. Conspicuous ornaments also carry a greater risk of predation. We assess the relationship between the colour and size of the dewlap of several species of gliding lizards (genus Draco) from Malaysia and the Philippines. We found a negative relationship between colour contrast against the background and relative dewlap size, suggesting that increasing colour contrast and relative dewlap size are alternative strategies for effective communication. Male relative dewlap size increases with increasing sexual size dimorphism, and dewlap colour and brightness contrast increase with increasing sexual dichromatism in colour and brightness respectively, suggesting that sexual selection is acting on both dewlap size and colour.  We further show that species employing greater relative dewlap size for conspicuousness are those found in high predation habitats, whilst species employing greater colour contrast are found in relatively low predation habitats. These results suggest that the use of larger or more colourful dewlaps as strategies for effective communication may be driven by the interaction between sexual selection and predation risk.";"UNSW, Sydney"
"David Scheel";"Signals of intent among Octopus tetricus     (#360)";"Most octopuses are regarded as solitary and distinctly asocial.Â Although there are many published studies of signaling behaviour among schooling cuttlefish and squids, there are very few of similar behaviour among the octopuses.Â The exceptions are related to display behaviours and morphology of octopuses in pre-copulatory periods.Â However, in this study we show that Octopus tetricus produce displays that predict the subsequent outcome of pair-wise interactions.Â That is, they signal their intent to escalate or retreat from agonistic interaction.Â O. tetricus is a medium-sized common shallow-water octopus of southeastern Australian and New Zealand water.Â Â We examined 193 pair-wise interactions during 60 h of video recordings of octopus behaviour at an extended midden where this species occurs in high density.Â Body color was measured as pixel intensity difference of the octopus head and mantle from an adjacent region of the substrate.Â The relative body darkness of the approaching and responding octopuses predicted interaction outcomes.Â Interactions in which dark body color by the approaching octopus was matched by dark body color by the reacting octopus typically led to escalated displays or fighting behavior.Â Dark or intermediate body color by the approaching octopus that was met by pale color in the reacting octopus was followed by retreat of the paler octopus.Â Particularly dark approaching octopuses gave chase to paler retreating octopuses.Â Other potential signals included postures and behaviors occurring in specific contexts such as between mated male-female pairs (reaching behavior) or by presumed male octopuses to intruders into their proximity (body posture displays).Â This study is the first to document signaling of intention during agonistic interactions among octopuses.";"Alaska Pacific University, Anchorage, AK, United States"
"Lucy M Aplin";"Transmission biases in the spread & persistence of an experimentally induced cultural behaviour in wild birds     (#326)";"Social learning is important for the life history\nof many animals, and can lead to stable group traditions and the evolution of culture.\nTo what extent socially learnt behaviours are transmitted, spread and persist\nwill be partly determined by the adaptive use of social learning strategies. However\nwhile various learning strategies have been identified in animals, how learning\nbiases interact and co-occur within individuals and populations has rarely been\nconsidered1. In two sets of experiments, we examined the influence\nof individual-level learning strategies on the spread and persistence of a\nnovel innovation. First, we seeded alternative foraging techniques into eight\nsub-populations of great tits (Parus\nmajor), using a two-action/control experimental design. Automated tracking\nof individuals revealed that the information spread through treatment\nsub-populations to reach an average of 75% of individuals (n=414), with a strong\nbias in each sub-population towards the originally introduced technique2. A positive frequency-dependent learning bias (conformist\ntransmission) was observed when first learning, and also in subsequent\ndecision-making. This resulted in an increasing population-level bias to one technique.\nSecond, we varied rewards such that the common technique in each sub-population\nyielded a lower pay-off than the uncommon technique. Individuals socially\nlearnt to switch to the other technique, providing evidence for a ‘pay-off-biased’\nsocial learning rule. However individuals varied in flexibility, with juveniles\nand shy behavioural types3 most likely to move from conformist to\npay-off-biased copying. Our study thus provides experimental\nevidence for the integration of two social learning strategies in wild birds, examines\nindividual variation in social learning, and explores the effect of such social\nlearning biases on population-level outcomes.";"University of Oxford, Oxford, United Kingdom"
"Jayden O van Horik";"A Problem With Problem Solving     (#327)";"Rates\nof innovative foraging behaviours and success on problem solving tasks are\noften used to assay differences in cognition both across and within species. Yet\nthe cognitive features of some problem solving tasks can be unclear. As such,\nexplanations that attribute cognitive mechanisms to individual variation in\nproblem solving performances have revealed conflicting results. We investigate\nindividual consistency in problem solving performances in captive-reared pheasant\nchicks (Phasianus colchicus) to address\nwhether success depends on cognitive processes, such as trial-and-error learning,\nor whether performances may be driven solely via non-cognitive motivational\nmechanisms, such as interaction persistence, or other physiological traits,\nsuch as body condition. While individuals were consistent in their problem\nsolving performances, successful individuals did not improve their performances\nwith experience, nor were they consistent in their techniques used to solve the\ntasks. Successful individuals showed consistent performances within the same\nproblems and across similar problems, yet their performances were inconsistent\nacross different types of problems. Overall, successful individuals were generally\nmore motivated to enter the experimental chamber, faster to approach each test apparatus\nand more persistent in their attempts to solve the problems than unsuccessful\nindividuals. Our findings suggest that consistent\nindividual differences in problem solving performances can arise from motivational\ndifferences alone and hence may be achieved without inferring more complex\ncognitive processes. ";"University of Exeter UK, Exeter, DEVON, United Kingdom"
"Corina Logan";"Is innovation a good indicator of complex cognition?     (#328)";"The number of innovations (novel foraging techniques) a species has is considered an indicator of complex cognition because it positively correlates with relative brain size (corrected for body size). However, smaller-brained species are rarely tested for complex cognition, therefore our understanding of the relationship between complex cognition and relative brain size is incomplete. Here I compare innovative New Caledonian crows and great-tailed grackles (who both have broad diets) with the less innovative Western Scrub-jays (who have specialized diets) on a series of Aesop’s Fable water displacement experiments. This comparison tests whether innovative species perform better on a task requiring general problem solving abilities, which are another potential indicator of complex cognition in addition to innovation. Crows and grackles preferred functional options in tasks, while scrub-jays did not. These results support the hypothesis that innovativeness indicates complex cognition. However, innovativeness does not track brain size because the smaller-brained but innovative grackles performed similarly to large-brained, innovative crows, while the large-brained yet less innovative scrub-jays performed poorly. Since scrub-jays exhibit general problem solving abilities in a caching context, this demonstrates that there are multiple pathways to complex cognition and reliance on only one indicator can lead to misclassifications.";"University of Cambridge, Cambridge, United Kingdom"
"Ben Ashton";"Quantifying cognitive ability in the wild: repeatability and its interplay with developmental processes     (#329)";"There has been a recent upsurge of interest in the\nevolutionary ecology of cognition, in particular the causes and consequences of\nindividual variation in cognitive performance. However, recent debate has\nhighlighted the potential challenges and pitfalls associated with this\nendeavour. We focus on one of these issues: the importance of measuring repeatability\nwhen attempting to quantify individual differences in cognitive traits, and the\ninterplay of individual variation with developmental processes. The\nrepeatability of results must be considered when quantifying cognitive\nabilities in order to ensure that among-individual variation results from\ncognitive factors rather than non-cognitive variables, such as motivation or\npersistence. We presented wild Australian magpies from 16 different groups with\ntasks designed to measure inhibitory control and spatial memory. Tasks were\npresented to individuals at 100 and 200 days post-fledging. In order to\ndetermine the effect of age, we compared results between 100 and 200 days, and\nfound no significant difference suggesting no clear developmental changes in\ncognitive ability over this period. Subsequent testing at older ages will\nexamine this relationship further. Secondly, we compared cognitive performance\nwithin tasks and between tasks (carried out at the same age) to investigate\nrepeatability. We found no significant differences in individual performance between\nand within tasks, indicating repeatability in performance in a cognitive task.\nOur results provide evidence of consistent within-individual differences in\ncognitive traits, suggesting our population harbours sufficient variation for\nselection to act.";"Centre for Evolutionary Biology, University of Western Australia, Perth, Western Australia, Australia"
"Agatha Liévin-Bazin";"Emotional contagion in response to distress calls in cockatiels (Nymphicus hollandicus)     (#330)";"Empathy is the ability to identify and share emotional\nstates with others. According to de Waal et al. (2008), the lowest level is ‘emotional contagion’, a mechanism by which  a certain emotion is transferred from one\nindividual to another. It is best illustrated by the example of newborn babies inducing\neach other to cry all together at maternity wards. Vocal communication is a useful\ntool for studying emotional contagion. Indeed, it has been already demonstrated\nthat an acoustic signal can contain cues on physical condition and emotional\nstate of the emitter. Distress calls are vocalizations that animals use in situations of extreme distress\nsuch aswhen\ncaught by a predator, have been used in this context. These\nspecific calls are known to arouse high\nreactions in receivers. It has been shown that when mice hear distress calls\nfrom congeners, it impacts their heart rate (Chen et al 2011). In this study, we are reproducing a protocol used with\ndomestic pigs (Düpjan et al\n2011) and will adapt it to cockatiels (Nymphicus hollandicus), the\nsmallest representatives of the cockatoo family. These birds are extremely\nsocial animals and vocally communicate within groups. Nine birds were tested individually\nin a sound-proof chamber. During the experiment, each bird heard three\ndifferent sounds in a pseudo-randomized order: white noise as a control,\ndistress calls from an affiliate conspecific and\ndistress calls from a non-affiliate bird. Preliminary video analysis suggests\nthat birds attended towards the white noise (duration of “immobility”, head orientation towards the amplifier) whereas they showed stress\nresponses in reaction to the distress calls (flying up, i.e. escape attempts, calls\nand higher levels of general locomotor activity). It also appears that birds\ncalm down earlier after hearing distress calls from a non-affiliate compared to\nan affiliate. These preliminary\nresults show that cockatiels are stressed upon hearing the distress calls of affiliate\nindividuals and that they respond to a lesser extent to non-affiliate\nbirds. ";"Laboratoire Éthologie Cognition Développement, Nanterre, France"
"Filipe Cristovão da Cunha";"Trust in whom you know: how to reduce the risk of falling for deceptive warning calls     (#366)";"Warning calls are a widespread adaptation, used to inform other\nindividuals about the presence of a potentially dangerous situation. However,\nthese signals are not always given in response to danger and individuals can\nemit false warning calls in order to gain access to limited resources, such as\nfood. Thus, species where individuals use false warning calls should have\nevolved rules to judge caller reliability. While this adaptation has been shown\nin mammals, it is unknown whether this also occurs in birds, and which criteria\nindividuals use to trust warning calls. We investigated how social cognition affects the response to warning calls through a field experiment with a bird\nspecies that lives in stable groups, the Siberian jay (Perisoreus infaustus). We exposed dominant breeders to warning\ncalls of former group members and unknown individuals, given towards perched\nhawks. Breeders immediately reacted to warning calls of former group members\nand escaped to safety. However, in response to warning calls of unknown\nindividuals, breeders were much slower in responding. These results suggest\nthat Siberian jays use social cognition to assess caller reliability and reduce\nthe risk of deception. ";"Anthropological Institute & Museum, University of Zürich, Zürich"
"Patricia Lee";"Polyandry in turtles and other reptiles: a meta-analysis     (#290)";"A key set of hypotheses explaining female promiscuity postulate that there are fitness benefits of such behaviour to females. However, reptiles such as turtles do not form social pairs for breeding, nor do they care for offspring beyond egg-laying. In such a simple reproductive system, it is more difficult to argue for female benefits since male care of offspring and nuptial gifts do not play any role in the mating game. The most relevant hypotheses for this system are genetic benefits and fertilization assurance. However, after more than a decade of investigation, evidence for such benefits in turtle populations remain scarce. Here we present a preliminary meta-analysis of the evidence for female benefits of polyandrous behaviour. We also plan to extend our analysis to examine population factors (e.g., heterozygosity, population size, etc.), as well as include other reptiles and amphibians.";"Deakin University, Warrnambool, VIC, Australia"
"H. Jane Brockmann";"Polyandry in the American Horseshoe Crab (Limulus polyphemus)     (#331)";", "University of Florida, Gainesville, FLORIDA, United States"
"Mats Olsson";"Evolution of polyandry in sand lizards     (#332)";"In the current talk, I review experimental and observational work on aspects of the evolution of polyandry in free-living sand lizards (Lacerta agilis) in southern Sweden. This work demonstrates polyandry effects on the probability of fertility at the onset of the mating season in a simulated ancestral population (with simultaneous male-female emergence, as opposed to [the current] protandric male emergence from hibernation). However, when fertility was assessed fertility in the current population, polyandry had no effect. Thus, assuming that polyandry is a costly behaviour (e.g., due increased predation, risk of sexually transmitted disease etc) something else must explain its persistence in the population. Lab experiments at the beginning of this research project showed that polyandry not only increased offspring viability at hatching but also offspring first-year survival (when mortality is at its highest). Since sand lizards are ectotherms, we then looked for environmental effects on adult courtship and mating behaviour and could confirm that during more benign conditions (warmer mating seasons) males were more active courting females, which resulted in more copulations per female and year, higher degree of multiple paternity within clutches, less malformations in the offspring, and higher offspring first year survival. Thus, we could confirm that our first lab experiments verifying positive polyandry effects on offspring viability were congruent with our observations on corresponding viability effects over a decade in the wild, comprising more than 5,00 adult and 4,000 offspring.";"The University of Sydney, Camperdown, Sydney, NSW, Australia"
"Ben Halliwell";"Habitat structure, mating behavior and social organisation in Liopholis whitii, an experimental test     (#333)";"The occurrence of\nkin-based social organisation represents a turning point in evolution whereby\nlocal genetic relatedness can be exploited to increase gene frequencies through\nbehavioural cooperation with relatives. Insights into the factors responsible\nfor both the diversity and stability of social systems are crucial for\nenhancing our understanding of key evolutionary processes. However the precise\nconditions that favour the origin and maintenance of sociality remain unclear. Both\ntheoretical and empirical studies suggest that physical characteristics of the\nenvironment play a key role in mediating social complexity. Using experimental\ntechniques in a semi-natural setting, we investigated how the physical\nstructure of habitats influenced various aspects of social behavior in the\nsocial skink, Liopholis whitii. We show that habitat structure\ninfluences several key aspects of the social system, including rates of\npolygyny and male-female overlap, but does not affect pair bonding behaviour or\nrates of polyandry. We also present results from follow-up experiments investigating factors that mediate\noffspring dispersal and discuss our findings in the context of the origin and\ndiversification of social complexity.";"University of Tasmania, Sandy Bay, TAS, Australia"
"Ben Halliwell";"Polyandry, Male Care and the Evolutionary Origins of the Family     (#334)";"Evolutionary transitions to and from\ncomplex social behaviour appear linked to female multiple mating (polyandry). Specifically,\nfemale polyandry decreases the relatedness between family members which has fundamental\nimplications for the costs and benefits of cooperation. Here\nwe examine the role that female polyandry plays in influencing social dynamics\nwithin a group of family living lizards, the Egernia group. Focusing on\nEgernia whitii and utilising 10 years of data from a long term study, we\nshow that males and females live in long-term stable monogamous pair bonds and\nparents look after their offspring. However, we also show that females are polyandrous\nwith approximately 30% of offspring sired by males outside the pair bond\n(extra-pair offspring) and that female polyandry has significant ramifications for both\nparent-offspring and sibling-sibling interactions. We then explore the evolutionary consequences\nof these effects for the stability of the family group more generally and\nprovide a framework for connecting these within population effects to the\ndiversification in family living that we observe right across the Egernia\ngroup. ";"University of Tasmania, Hobart, TAS, Australia"
"Lyanne Brouwer";"Discussion     (#335)";", "Australian National University, Acton, ACT, Australia"
"Gordon M Burghardt";"Improving the lives of captive reptiles     (#297)";"Reptiles are commonly exhibited in zoos but their behavioral and psychological needs rarely addressed beyond what is needed to keep them physically healthy or capable of reproducing. This attitude is changing rapidly, as least in some quarters, as evidence of problem solving, social learning, playfulness, and other signs of cognitive, social, and emotional complexity are accumulating. This talk will present evidence documenting this evidence and how zoos can and are responding. Monitor lizards were one of the first groups to be formally \"enriched\" in zoos, but all species must now be considered as benefiting from applying our growing understanding of the dynamics of reptile behavior.";"University of Tennessee, Knoxville, TN, United States"
"Vicky Melfi";"Evaluating the impact of different housing and husbandry regimes on the welfare of zoo housed koalas, Phascolarctos cinereus.     (#337)";"Koalas are an endemic Australian icon, attracting the attention\nof many visitors; especially as they are a rarity in zoos outside of the\nregion.  Their conservation status is\nhighly debated, but that their future is being determined by anthropogenic\nfactors is not.  Zoo housed koalas have\nthe potential to encourage positive environmental behaviours in visitors when\nthey learn of the consequences their actions have on the future survival of\nthis, and other species.  Various approaches\nhave been taken to facilitate the promulgation of this message, resulting in\ndifferent housing and husbandry regimes. \nThe evaluation of the impact of these regimes on the behaviour and\nwelfare of koalas has however been limited; both in sample size and in factors\nevaluated.  Folivores, which are\nbehaviourally cryptic, the study of koala behaviour and welfare is\nchallenging.  In this current study,\nvarious indices have been collated (including behaviour, endocrine function and\npersonality) on different populations of zoo koala to validate welfare indices\nin the species, and explore the impact of different regimes on them.  The results from this study represent the\nintegration of traditional and novel methods of welfare assessment, in a seldom\nstudied taxa, to meet a contemporary demand of stimulating positive\nenvironmental behaviours in communities whose actions without mitigation are\nlikely to lead to the extinction of this Australian icon.  ";"Taronga Conservation Society Australia, Sydney, NSW, Australia"
"Greg Vicino";"From Prevention of Cruelty to Optimizing Welfare:  Opportunities to Thrive     (#338)";"Historically, animal welfare was\nevaluated in terms of negative states (e.g., hunger or thirst) as evidenced by\nthe five freedoms.  As the field continues to expand in both technique\n(e.g., technological advances, multimodal assessment tools, etc.) and\nunderstanding, many of the traditional frameworks no longer provide the detail\nand direction to take full advantage of our shared knowledge.  As we shift\nour methods to examine positive states of welfare (e.g., behavioral diversity)\nin addition to negative measures we also find that our focus must be detailed\nenough to account for the interplay between the two.  If we are to\nconsider an animal’s welfare on a continuum from poor to thriving, we are\npressed to develop a lens with which we can assess opportunities for animals\n(inputs) and evaluate their impacts (outputs).  The concept of assessing\nwelfare framed by providing animals with ‘opportunities to thrive’ allows us to\nadapt to the changing needs of animals within a specific context. \nUtilizing opportunities to thrive should not replace measurement of output\nvariables but provide a framework to develop an animal welfare management\nprogram to optimize welfare for animals under human care.";"San Diego Zoo Global, San Diego, CALIFORNIA, United States"
"Samantha J Ward";"Keeper-animal interactions: Differences in stockmanship affect zoo animal behaviour     (#339)";"Stockmanship\nis a term used to describe the management of livestock in\na safe, effective, and low-stress manner for both the stock-keeper and animals\ninvolved. Although impacts of unfamiliar zoo visitors on animal behaviour have\nbeen extensively studied, the impact of stockmanship i.e familiar zoo keepers is\na new area of research; which could reveal significant ramifications for zoo\nanimal behaviour and welfare. It is likely that different relationships are\nformed dependant on the unique keeper-animal dyad (human-animal interaction,\nHAI). The aims of this study were to (1) investigate if unique keeper-animal\ndyads were formed in zoos, (2) determine whether keepers differed in their\ninteractions towards animals (stockmanship style), (3) explore what factors\naffect keeper-animal dyads and ultimately influence animal behaviour and\nwelfare.  Eight\nblack rhinoceros (Diceros bicornis),\neleven Chapman’s zebra (Equus\nburchellii), and twelve Sulawesi crested black macaques (Macaca nigra) were studied in 6 zoos\nacross the UK and USA. Subtle cues and commands directed by keepers towards\nanimals were identified, the animals latency to respond and the respective\nbehavioural response (cue-response) was recorded per keeper-animal dyad (n=93).\nA questionnaire was constructed following a five-point Likert scale design to record\nkeeper demographic information and assess the job satisfaction of keepers’\ntheir attitude towards the animals and their perceived relationship with them. There\nwas a significant difference in the animals’ latency to appropriately respond after\ncues and commands from different keepers for all three species for at least one\nof the cues, indicating unique keeper-animal dyads were formed. Stockmanship\nstyle was also different between keepers and an exploratory factor analysis\noutlined two main components which contributed equally towards this which were “attitude\ntowards the animals” and “knowledge and experience of the animals”.  Data demonstrated unique dyads were formed\nbetween keepers and zoo animals, which influenced animal behaviour and that\nkeepers can influence these behaviours by their own actions. It also poses\nfuture research questions which will be discussed.";"Nottingham Trent University, Southwell, NOTTINGHAMSHIRE, United Kingdom"
